"ID_LEGISLATURA";"NOMBRE";"FECHA_INI";"FECHA_FIN";"VISIBLE";"OBSERVACIONES";"RNUM";
"21";"VIII Legislatura 2011/2015 ";"2011-07-16 00:00:00";"2015-07-04 00:00:00";"1";"";"1";
"3";"VII Legislatura 2007/2011";"2007-05-20 00:00:00";"2011-07-16 00:00:00";"1";"";"2";
"4";"VI Legislatura 2003/2007";"2003-07-05 00:00:00";"2007-05-20 00:00:00";"1";"";"3";
"5";"V Legislatura 1999/2003";"1999-08-02 00:00:00";"2003-07-05 00:00:00";"1";"";"4";
"6";"IV Legislatura 1995/1999";"1995-07-11 00:00:00";"1999-08-02 00:00:00";"1";"";"5";
"7";"III Legislatura 1995/1995";"1995-01-18 00:00:00";"1995-07-11 00:00:00";"1";"";"6";
"8";"III Legislatura 1993/1995";"1993-09-17 00:00:00";"1995-01-18 00:00:00";"1";"";"7";
"9";"III Legislatura 1991/1993";"1991-07-12 00:00:00";"1993-09-17 00:00:00";"1";"";"8";
"10";"II Legislatura 1987/1991";"1987-08-03 00:00:00";"1991-07-12 00:00:00";"1";"";"9";
"11";"I Legislatura 1983/1987";"1983-06-06 00:00:00";"1987-08-03 00:00:00";"1";"";"10";
"12";"Preautonomía 1982/1983";"1982-12-29 00:00:00";"1983-06-06 00:00:00";"1";"";"11";
"13";"Preautonomía 1982/1982";"1982-11-26 00:00:00";"1982-12-30 00:00:00";"1";"";"12";
"14";"Preautonomía 1982/1982";"1982-10-16 00:00:00";"1982-11-26 00:00:00";"1";"";"13";
"15";"Preautonomía 1982/1982";"1982-01-21 00:00:00";"1982-10-16 00:00:00";"1";"";"14";
"16";"Preautonomía 1981/1982";"1981-05-09 00:00:00";"1982-01-21 00:00:00";"1";"";"15";
"17";"Preautonomía 1980/1981";"1980-04-28 00:00:00";"1981-05-09 00:00:00";"1";"";"16";
"18";"Preautonomía 1979/1980";"1979-05-21 00:00:00";"1980-04-28 00:00:00";"1";"";"17";
"19";"Legislatura2007/2011";"1978-04-09 00:00:00";"1979-05-21 00:00:00";"0";"";"18";
"24";"IX Legislatura 2015/2019";"2015-07-04 00:00:00";"2019-05-27 00:00:00";"1";"";"19";
"25";"X Legislatura 2019/2023";"2019-06-20 00:00:00";"";"1";"";"20";
